City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tahoua,NE,2022-02-11 00:52:08,14.8888,5.2692,66.22,11,0,13.18
68,Ancud,CL,2022-02-11 00:44:23,-41.8697,-73.8203,54.93,64,9,11.3
69,Samarai,PG,2022-02-11 00:52:08,-10.6167,150.6667,84.65,55,100,11.52
70,Usinsk,RU,2022-02-11 00:52:09,65.9939,57.5281,25.38,86,100,20.2
71,Kapaa,US,2022-02-11 00:50:49,22.0752,-159.319,79.2,65,100,4.61
72,Severo-Kurilsk,RU,2022-02-11 00:52:09,50.6789,156.125,29.01,71,100,6.73
73,Aswan,EG,2022-02-11 00:52:10,24.0934,32.907,50.0,46,0,10.4
74,Victoria,HK,2022-02-11 00:43:01,22.2855,114.1577,66.38,81,96,13.0
75,Hofn,IS,2022-02-11 00:48:39,64.2539,-15.2082,28.94,56,12,10.0
76,Menongue,AO,2022-02-11 00:52:10,-14.6585,17.691,61.41,96,100,2.62
77,Norman Wells,CA,2022-02-11 00:42:29,65.282,-126.8329,-7.56,71,75,2.3
78,Baft,IR,2022-02-11 00:52:11,29.234,56.6057,38.57,28,0,2.04
79,Nelson Bay,AU,2022-02-11 00:52:11,-32.7167,152.15,81.1,65,48,4.0
80,Kodiak,US,2022-02-11 00:52:12,57.79,-152.4072,35.11,69,100,24.16
81,Puerto Ayora,EC,2022-02-11 00:43:37,-0.7393,-90.3518,75.54,92,98,1.99
82,Puerto Escondido,MX,2022-02-11 00:52:13,15.85,-97.0667,81.43,74,0,4.61
83,Krasnoselkup,RU,2022-02-11 00:52:13,65.7,82.4667,-10.17,87,61,10.22
84,Castro,BR,2022-02-11 00:52:13,-24.7911,-50.0119,61.86,90,8,6.11
85,Mataura,NZ,2022-02-11 00:47:26,-46.1927,168.8643,62.47,65,96,4.68
86,Riyadh,SA,2022-02-11 00:51:01,24.6877,46.7219,62.74,24,4,13.15
87,Ponta Do Sol,PT,2022-02-11 00:42:31,32.6667,-17.1,68.72,46,100,0.43
88,Nome,US,2022-02-11 00:52:14,64.5011,-165.4064,-7.53,71,75,4.61
89,San Quintin,MX,2022-02-11 00:52:15,30.4833,-115.95,67.26,36,0,2.62
90,Inhuma,BR,2022-02-11 00:52:15,-6.6683,-41.7078,70.56,90,30,2.24
91,Bonito,BR,2022-02-11 00:52:16,-21.1211,-56.4819,78.93,59,0,6.82
92,Margate,GB,2022-02-11 00:52:16,51.3813,1.3862,39.06,80,5,22.66
93,Qaanaaq,GL,2022-02-11 00:41:42,77.484,-69.3632,-20.61,61,96,5.39
94,Kenora,CA,2022-02-11 00:54:12,49.8167,-94.4337,21.18,100,100,4.61
95,Portel,BR,2022-02-11 00:54:13,-1.9356,-50.8211,74.41,94,99,3.91
96,Omagari,JP,2022-02-11 00:54:13,39.45,140.4833,32.76,90,95,0.34
97,Ciudad Del Maiz,MX,2022-02-11 00:54:13,22.4,-99.6,57.74,86,53,7.85
98,Westport,US,2022-02-11 00:54:14,41.1415,-73.3579,47.79,54,9,5.01
99,Brezova Pod Bradlom,SK,2022-02-11 00:54:14,48.6635,17.539,44.89,76,59,4.92
100,Lasa,IT,2022-02-11 00:54:15,46.6166,10.7002,36.86,77,11,2.95
101,Dwarka,IN,2022-02-11 00:54:15,22.2394,68.9678,68.11,51,0,12.86
102,Port Alfred,ZA,2022-02-11 00:42:38,-33.5906,26.891,67.62,85,2,5.3
103,Mwinilunga,ZM,2022-02-11 00:54:15,-11.7358,24.4293,60.91,96,100,0.96
104,Buchanan,LR,2022-02-11 00:44:54,5.8808,-10.0467,78.48,91,29,5.86
105,Agadez,NE,2022-02-11 00:54:16,19.75,10.25,56.88,27,0,8.5
106,Tautira,PF,2022-02-11 00:54:16,-17.7333,-149.15,86.02,70,13,11.9
107,Gonbad-E Qabus,IR,2022-02-11 00:54:17,37.25,55.1672,50.95,87,100,7.43
108,Point Pedro,LK,2022-02-11 00:54:17,9.8167,80.2333,77.72,87,100,14.67
109,Tasiilaq,GL,2022-02-11 00:54:18,65.6145,-37.6368,8.85,57,100,7.07
110,Sitka,US,2022-02-11 00:50:02,57.0531,-135.33,37.29,52,100,0.0
111,Labuhan,ID,2022-02-11 00:54:18,-6.8844,112.2051,80.06,84,100,4.92
