City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
230,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
231,Kirakira,SB,77.54,overcast clouds,-10.4544,161.9205,SanBiz Lodge
234,Santa Maria Da Vitoria,BR,83.86,broken clouds,-13.3947,-44.1886,Pousada Rio Current
244,Sola,VU,77.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
248,Meulaboh,ID,77.85,broken clouds,4.1363,96.1285,Kost Pria
268,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
270,Saint-Paul,RE,78.91,few clouds,-21.0096,55.2707,Boucan Canot
277,Pombas,CV,78.58,overcast clouds,17.1503,-25.0201,Paul Paradis
280,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
287,Marsabit,KE,75.25,few clouds,2.3284,37.9899,Chicho Hotel
288,Tual,ID,82.6,few clouds,-5.6667,132.75,Grand Vilia Hotel
295,Padang,ID,77.97,overcast clouds,-0.9492,100.3543,Mercure Padang
296,Vanimo,PG,77.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
299,Tabou,CI,82.29,scattered clouds,4.423,-7.3528,hotêl doufoulougou
301,Manokwari,ID,77.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
304,Posse,BR,78.91,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
306,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
309,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
311,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
312,Lazaro Cardenas,MX,84.79,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
313,Ancud,CL,77.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
315,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
316,Hambantota,LK,77.43,broken clouds,6.1241,81.1185,Bungalow 63
318,Lorengau,PG,80.76,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Male,MV,80.26,light rain,4.1748,73.5089,Hotel Octave Maldives
320,Garowe,SO,77.76,broken clouds,8.4054,48.4845,Curubo Hotel
321,Faanui,PF,79.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
326,Port-Gentil,GA,81.25,broken clouds,-0.7193,8.7815,Fengshui Residence
333,Camana,PE,75.36,scattered clouds,-16.6228,-72.7111,Hostal Morales
336,Vao,NC,79.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
337,La Orilla,MX,85.46,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
341,Ovalle,CL,82.85,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
350,Talara,PE,83.16,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
354,Kavaratti,IN,80.83,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
370,Isangel,VU,79.21,overcast clouds,-19.55,169.2667,Tanna Lodge
373,Marang,MY,76.66,overcast clouds,5.2056,103.2059,DBarakah Homestay
378,Nkoteng,CM,87.46,few clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
381,Huarmey,PE,76.26,broken clouds,-10.0681,-78.1522,Hotel Miramar
394,Koumac,NC,77.94,broken clouds,-20.5667,164.2833,Le Monitel
400,Maragogi,BR,85.77,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
402,Sao Filipe,CV,79.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
403,Svay Rieng,KH,76.12,broken clouds,11.0879,105.7993,Apsara guesthouse
413,Pobe,BJ,88.92,overcast clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
419,Porto Novo,BJ,85.28,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
420,Arica,CL,83.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
421,Dovers,VC,77.52,broken clouds,12.8833,-61.1833,Ocean Breeze
424,Brokopondo,SR,80.51,overcast clouds,4.75,-55.1667,Matu Island
434,Luderitz,,75.06,scattered clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
441,Mumford,GH,82.38,broken clouds,5.2618,-0.759,Spanish Villa
442,Luganville,VU,78.21,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
444,Namibe,AO,78.75,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
447,Itanhem,BR,88.39,broken clouds,-17.1664,-40.33,Hotel Resende
450,Folsom,US,75.83,clear sky,38.678,-121.1761,Hilton Garden Inn Folsom
451,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
452,Reconquista,AR,84.96,overcast clouds,-29.15,-59.65,Grand Hotel
454,Khorixas,,77.16,overcast clouds,-20.3667,14.9667,Khorixas Lodge
456,Paita,PE,82.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
464,Kudat,MY,75.13,scattered clouds,6.8837,116.8477,Dream Garden Hotel
470,Banda Aceh,ID,77.9,scattered clouds,5.5577,95.3222,Sulthan Hotel International
474,Mazagao,BR,89.65,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
480,Bubaque,GW,81.73,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
482,Eyl,SO,76.17,broken clouds,7.9803,49.8164,Amiin Hotel
483,Sechura,PE,80.46,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
485,Morro Bay,US,75.7,few clouds,35.3658,-120.8499,Inn at Morro Bay
486,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
490,Sabancuy,MX,81.18,few clouds,18.9667,-91.1833,pulpo
492,Durban,ZA,80.92,clear sky,-29.8579,31.0292,Hilton Durban
493,Karangasem,ID,81.48,overcast clouds,-8.45,115.6167,Villa Campuhan
497,Tamuin,MX,76.5,scattered clouds,21.9833,-98.75,Hotel Tamuin
498,Pampierstad,ZA,84.29,scattered clouds,-27.7832,24.6877,BAROLONG METHODIST CHURCH
500,Karratha,AU,86.49,broken clouds,-20.7377,116.8463,ibis Styles Karratha
503,Mitsamiouli,KM,78.4,light rain,-11.3847,43.2844,Foyer ADM
506,Ampanihy,MG,76.19,clear sky,-24.7,44.75,Angora Hotel
508,Springbok,ZA,78.53,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
509,Monrovia,LR,89.37,broken clouds,6.3005,-10.7969,Sunset Inn
511,Sao Miguel Do Araguaia,BR,80.78,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
513,Mahajanga,MG,81.28,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
515,Alugan,PH,77.74,overcast clouds,12.2188,125.4808,JM Lodge
520,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
524,Pointe Michel,DM,83.34,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
527,Cabedelo,BR,88.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
530,Ternate,ID,80.11,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
537,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
539,Avanigadda,IN,75.34,scattered clouds,16.0215,80.9181,AP Camping
541,Lamu,KE,77.77,overcast clouds,-2.2717,40.902,Lamu House
543,Calamar,CO,85.95,broken clouds,10.2511,-74.9146,Hostal Katyalex
550,Voh,NC,76.05,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
551,Cururupu,BR,79.45,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
555,Mahibadhoo,MV,81.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
556,Kokopo,PG,76.17,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
560,Opotiki,NZ,76.39,overcast clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
563,Richards Bay,ZA,76.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
564,Chiredzi,ZW,79.86,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
569,Garoua,CM,89.33,scattered clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
572,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
574,Mancio Lima,BR,77.07,thunderstorm with light rain,-7.6142,-72.8958,Motel Asas Do Desejo
576,Jamkhandi,IN,76.14,scattered clouds,16.5167,75.3,Hotel Shreyas
577,Omboue,GA,80.82,broken clouds,-1.5746,9.2618,Hotel Olako
585,Totness,SR,78.87,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
586,Bandiagara,ML,88.29,few clouds,14.3501,-3.6104,Hotel de la Falaise
591,Sai Buri,TH,77.09,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
595,Praia,CV,81.14,overcast clouds,14.9215,-23.5087,LT Aparthotel
610,Big Bend,SZ,79.0,clear sky,-26.8167,31.9333,The Lebombo Villa B+B
613,Bonthe,SL,85.37,few clouds,7.5264,-12.505,Bonthe Holiday Village
619,Viedma,AR,81.3,overcast clouds,-40.8135,-62.9967,Hotel Cristal
625,San Ignacio,BZ,82.54,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
628,Bac Lieu,VN,78.48,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
631,Bhimunipatnam,IN,76.51,scattered clouds,17.8833,83.4333,Bheemili Court
